text,navigation,simple_action
"Can we head to the gym? On the way, look up.",1,1
Your next action is to point to your right.,0,1
Guide me to the main office.,1,0
Raise your left arm. Then show me the way to the counseling office.,1,1
"Before showing me the robotics lab, salute.",1,1
"First, dance. Second, navigate to the conference room.",1,1
Do you know the way to the study hall?,1,0
I would like a tour to the science lab.,1,0
Guide me to room 102.,1,0
"Before we continue, salute.",0,1
Go ahead and stand still.,0,1
"First, blink your lights. Second, navigate to room 203.",1,1
Can you describe how a robot nods?,0,0
Take me to the library.,1,0
"Can we head to the library? On the way, look left.",1,1
Point me toward the art room.,1,0
Why is destination validation important?,0,0
Say that again.,0,0
Please navigate to the parking lot.,1,0
"Help me find the elevator, then give me a thumbs-up.",1,1
Salute.,0,1
Do you like soccer?,0,0
Where is the art room?,1,0
Can you do a little celebration and guide me to room 101?,1,1
Would you raise your right arm before escorting me to the music room?,1,1
Tell me about the robotics lab.,0,0
Lead me to the south exit.,1,0
Would you lift both arms?,0,1
Please bring me to the conference room and point forward when we get there.,1,1
How are you?,0,0
Good evening.,0,0
"Please lead me to the gym; while we start, face me.",1,1
Why do libraries organize books?,0,0
I am working on a robot project.,0,0
Explain path planning.,0,0
Do you know the route to the elevator? Please stop moving too.,1,1
I already visited the main office.,0,0
"Before showing me the elevator, put your arms down.",1,1
I am trying to reach the courtyard.,1,0
"After you nod, bring me to the north entrance.",1,1
Where is the counseling office?,1,0
How do I split training and testing data?,0,0
Do you know the route to room 102? Please tilt your head too.,1,1
Can we head over to the study hall?,1,0
"Take me to the cafeteria, and stand still first.",1,1
"After you do a little celebration, bring me to the north entrance.",1,1
I want you to point to your right.,0,1
"First, bow. Second, navigate to the main office.",1,1
Take one step forward.,0,1
Would you do a little celebration before escorting me to the study hall?,1,1
"For a quick demo, stand still.",0,1
Point me toward the nurse's office.,1,0
What languages can you speak?,0,0
You did a great job.,0,0
Do you know the way to the front desk?,1,0
"Belt, please salute.",0,1
I would like a tour to the stairs.,1,0
Show me how you take one step forward.,0,1
The navigation app has its own map.,0,0
Would you raise your left arm?,0,1
Your next action is to put your arms down.,0,1
Would you face me?,0,1
"I need to get to the parking lot. Also, please nod.",1,1
Could you face me for me?,0,1
How does TF-IDF work?,0,0
I want you to lift both arms.,0,1
Nod.,0,1
"Before we continue, nod.",0,1
Show me the way to the cafeteria.,1,0
I want you to clap.,0,1
We walked to the gym this morning.,0,0
"Where is the south exit? Also, could you look right?",1,1
Could you stand still for me?,0,1
Does this classifier need a GPU?,0,0
Please lift both arms.,0,1
Do you know the way to the elevator?,1,0
I would like a tour to the computer lab.,1,0
Please bring me to the conference room and turn in a circle when we get there.,1,1
Go ahead and clap.,0,1
Good afternoon.,0,0
What is your name?,0,0
This sentence contains no command.,0,0
Could you please raise your right arm now?,0,1
Your next action is to wave.,0,1
Please turn in a circle.,0,1
I would like a tour to the principal's office.,1,0
"Before showing me the nurse's office, lower your arm.",1,1
Please blink your lights.,0,1
I need directions to the south exit.,1,0
"For a quick demo, look down.",0,1
"Take me to the nearest bathroom, and salute first.",1,1
I want you to turn in a circle.,0,1
Can you raise your right arm?,0,1
What does a classifier do?,0,0
The real robot will use audio input.,0,0
"Take me to the north entrance, and point to your left first.",1,1
Do the following action: do a little celebration.,0,1
How do I get to the counseling office?,1,0
How do I get to the nearest bathroom?,1,0
Can we head over to room 102?,1,0
What is logistic regression used for?,0,0
"Take me to the conference room, and clap first.",1,1
Do the following action: shake your head.,0,1
"Take me to the cafeteria, and point forward first.",1,1
Could you show me where the counseling office is and turn in a circle?,1,1
The request router returns a dictionary.,0,0
Show me how you point to your left.,0,1
Can we head over to the gym?,1,0
"Before we continue, put your arms down.",0,1
The executor calls robot modules.,0,0
"Give me a thumbs-up, then take me to the north entrance.",1,1
"Hey Belt, blink your lights.",0,1
I need directions to the elevator.,1,0
I am feeling excited today.,0,0
"I need to get to the art room. Also, please tilt your head.",1,1
I want you to spin around.,0,1
Please bring me to the parking lot and salute when we get there.,1,1
What does GPU stand for?,0,0
Could you wave for me?,0,1
"After you take one step forward, bring me to the reception area.",1,1
Tell me a joke.,0,0
"Take me to the counseling office, and tilt your head first.",1,1
I need directions to the courtyard.,1,0
Please help me find the south exit.,1,0
"First, nod. Second, navigate to room 102.",1,1
Take me to the science lab.,1,0
Waving is a friendly gesture.,0,0
Please help me find the nurse's office.,1,0
This code has four functions.,0,0
Could you show me where the student center is and point to your right?,1,1
What is your favorite color?,0,0
School was interesting today.,0,0
"Guide me to the library and, once we arrive, turn in a circle.",1,1
Which way is the conference room?,1,0
Please navigate to the cafeteria.,1,0
Can you tilt your head and guide me to the south exit?,1,1
I think the prototype is improving.,0,0
Go ahead and look left.,0,1
Your next action is to give me a thumbs-up.,0,1
We may add computer vision later.,0,0
"First, look down. Second, navigate to the music room.",1,1
Go ahead and point to your left.,0,1
Please give me a thumbs-up.,0,1
Please bring me to the front desk and turn in a circle when we get there.,1,1
Today is going pretty well.,0,0
I have another question.,0,0
Which way is the gym?,1,0
Please help me find the music room.,1,0
How does speech recognition work?,0,0
Would you blink your lights?,0,1
"After you give me a thumbs-up, bring me to the restroom.",1,1
Could you show me where the conference room is?,1,0
"Can we head to room 203? On the way, clap.",1,1
That is funny.,0,0
Could you please point to your left now?,0,1
Could you show me where the restroom is and stand still?,1,1
"Please lead me to room 101; while we start, do a little celebration.",1,1
Do you know the route to the library? Please raise your left arm too.,1,1
Would you nod?,0,1
Show me how you look down.,0,1
Can you do a little celebration?,0,1
Stand still.,0,1
The robot raised its arm yesterday.,0,0
Point me toward the nearest bathroom.,1,0
How should I organize my Python files?,0,0
Could you escort me to the parking lot?,1,0
Let's go to the theater.,1,0
What is the difference between JSON and a dictionary?,0,0
Could you escort me to the restroom?,1,0
"First, look up. Second, navigate to the theater.",1,1
Can you put your arms down?,0,1
Would you stop moving?,0,1
"Hey Belt, do a little celebration.",0,1
Let's go to the art room.,1,0
The demo starts tomorrow.,0,0
Please help me find the front desk.,1,0
I want you to point to your left.,0,1
Lead me to the parking lot.,1,0
Can you lower your arm and guide me to the robotics lab?,1,1
What does precision mean?,0,0
What is a Python function?,0,0
Bow.,0,1
"Before we continue, raise your left arm.",0,1
Your next action is to lift both arms.,0,1
"Before showing me the restroom, do a little celebration.",1,1
"Before showing me the study hall, face me.",1,1
Where is the south exit?,1,0
"Hey Belt, turn in a circle.",0,1
Could you please lift both arms now?,0,1
Can robots have emotions?,0,0
Could you please look right now?,0,1
"First, take one step forward. Second, navigate to room 101.",1,1
Please help me find the art room.,1,0
Could you show me where the student center is and face me?,1,1
Let's talk about robots.,0,0
I want you to take one step backward.,0,1
"Let's go to the restroom, but first give me a thumbs-up.",1,1
What is your purpose?,0,0
Can you bring me to room 101?,1,0
Please wave.,0,1
Look right. Then show me the way to room 101.,1,1
Where is the nearest bathroom?,1,0
"I have two requests: point to your left, and take me to the gym.",1,1
Could you show me where the principal's office is and turn in a circle?,1,1
"Guide me to the principal's office and, once we arrive, wave.",1,1
Show me the way to the restroom.,1,0
Lead me to room 102.,1,0
I want you to nod.,0,1
Would you raise your left arm before escorting me to the conference room?,1,1
I know where room 101 is.,0,0
Tell me about space.,0,0
"Please lead me to the parking lot; while we start, raise your right arm.",1,1
Go ahead and lower your arm.,0,1
Lead me to the student center.,1,0
Please give me a thumbs-up; I also need directions to the main office.,1,1
Your next action is to stand still.,0,1
That is a cool robot.,0,0
Show me how you look right.,0,1
"Please lead me to room 203; while we start, salute.",1,1
Please stand still; I also need directions to the theater.,1,1
Could you please take one step backward now?,0,1
Do the following action: clap.,0,1
Go ahead and shake your head.,0,1
Do you know the way to the stairs?,1,0
Walk with me to room 203.,1,0
"Take me to the computer lab, and blink your lights first.",1,1
"Hey Belt, bow.",0,1
Can we head over to the nurse's office?,1,0
"Take me to the theater, and do a little celebration first.",1,1
I do not need directions right now.,0,0
What is computer vision?,0,0
Please stand still.,0,1
"Before showing me room 102, look left.",1,1
Take me to the study hall.,1,0
I want you to face me.,0,1
"Belt, please point forward.",0,1
Lead me to the auditorium.,1,0
Could you escort me to the elevator?,1,0
This building is really large.,0,0
What does CPU stand for?,0,0
What does it mean to navigate?,0,0
Hi Belt!,0,0
My laptop battery is low.,0,0
Can we head over to the science lab?,1,0
Go ahead and stop moving.,0,1
Go ahead and raise your right arm.,0,1
Point me toward the gym.,1,0
What is artificial intelligence?,0,0
I am trying to reach room 101.,1,0
Face me.,0,1
I want you to wave.,0,1
I would like a tour to the gym.,1,0
"I have two requests: look left, and take me to the gym.",1,1
What should I name this project?,0,0
What is the capital of France?,0,0
Please help me find the restroom.,1,0
Tell me about your sensors.,0,0
The cafeteria food was good today.,0,0
This is only a terminal prototype.,0,0
Could you show me where room 102 is?,1,0
Show me the way to the stairs.,1,0
Take me to the robotics lab.,1,0
Wave.,0,1
No navigation is necessary.,0,0
Hello!,0,0
Can you turn in a circle and guide me to the south exit?,1,1
Why do programs use loops?,0,0
Guide me to the theater.,1,0
Please point forward.,0,1
Guide me to the study hall.,1,0
Do the following action: lift both arms.,0,1
"Before showing me the music room, bow.",1,1
Point me toward the restroom.,1,0
I forgot my notebook.,0,0
"First, wave. Second, navigate to the library.",1,1
Please raise your left arm; I also need directions to the reception area.,1,1
"For a quick demo, bow.",0,1
"For a quick demo, raise your left arm.",0,1
Your next action is to dance.,0,1
"Before showing me the principal's office, bow.",1,1
Your next action is to look left.,0,1
Salute. Then show me the way to the parking lot.,1,1
Could you show me where the stairs is and raise your left arm?,1,1
"Let's go to the courtyard, but first point to your right.",1,1
We can continue the conversation.,0,0
Would you raise your right arm?,0,1
"Belt, please lift both arms.",0,1
"After you stop moving, bring me to the north entrance.",1,1
"After you shake your head, bring me to the nearest bathroom.",1,1
Do you know the way to the art room?,1,0
Point me toward the science lab.,1,0
Clap.,0,1
Walk with me to the library.,1,0
I would like a tour to the art room.,1,0
Dance.,0,1
Where is the computer lab?,1,0
Guide me to the student center.,1,0
Could you escort me to the robotics lab?,1,0
"Guide me to the music room and, once we arrive, look left.",1,1
"Guide me to the conference room and, once we arrive, spin around.",1,1
Your next action is to take one step forward.,0,1
Put your arms down.,0,1
What is an API?,0,0
Could you please raise your left arm now?,0,1
Would you clap before escorting me to the theater?,1,1
That sounds reasonable.,0,0
I am trying to reach the reception area.,1,0
Go ahead and look right.,0,1
Face me. Then show me the way to the library.,1,1
"Help me find room 203, then clap.",1,1
"I need to get to the restroom. Also, please do a little celebration.",1,1
Would you tilt your head before escorting me to the cafeteria?,1,1
Give me a fun robot fact.,0,0
What is a confusion matrix?,0,0
"Hey Belt, point forward.",0,1
I would like a tour to the restroom.,1,0
That explanation made sense.,0,0
Let's go to the auditorium.,1,0
Point me toward the parking lot.,1,0
Good morning.,0,0
Guide me to the counseling office.,1,0
Are you connected to the internet?,0,0
Can you bring me to the restroom?,1,0
Please look right.,0,1
Please shake your head.,0,1
Point me toward the elevator.,1,0
I need directions to room 203.,1,0
"Belt, please look down.",0,1
Just keep chatting with me.,0,0
I am trying to reach the south exit.,1,0
"Before we continue, stand still.",0,1
Lead me to the principal's office.,1,0
Do you know the route to the principal's office? Please lower your arm too.,1,1
I am trying to reach the study hall.,1,0
Room 203 is on the second floor.,0,0
Please take one step backward; I also need directions to the stairs.,1,1
Please help me find the computer lab.,1,0
What is a confidence score?,0,0
"Hey Belt, look up.",0,1
I am learning logistic regression.,0,0
Do you know the route to the north entrance? Please spin around too.,1,1
I saw someone wave earlier.,0,0
Walk with me to the conference room.,1,0
Why should a model be loaded only once?,0,0
Show me the way to the auditorium.,1,0
Our team is preparing slides.,0,0
Can we head over to the north entrance?,1,0
"Please lead me to the cafeteria; while we start, stop moving.",1,1
"Belt, please spin around.",0,1
Point me toward the main office.,1,0
Could you escort me to the conference room?,1,0
"Lower your arm, then take me to the conference room.",1,1
Do you know the way to the reception area?,1,0
I am trying to reach the nearest bathroom.,1,0
Who invented the telephone?,0,0
"Take me to the cafeteria, and nod first.",1,1
I built a small Python program.,0,0
Could you show me where the principal's office is?,1,0
I am trying to reach the computer lab.,1,0
Could you escort me to the student center?,1,0
Could you show me where the robotics lab is and take one step forward?,1,1
Lift both arms.,0,1
What can you do?,0,0
"After you raise your left arm, bring me to the art room.",1,1
"Take me to the robotics lab, and point to your left first.",1,1
"I need to get to room 102. Also, please point to your left.",1,1
I want you to look down.,0,1
Please shake your head; I also need directions to room 203.,1,1
How do I get to room 101?,1,0
What is two plus two?,0,0
"Give me a thumbs-up, then take me to the robotics lab.",1,1
Tilt your head.,0,1
"Can we head to room 102? On the way, turn in a circle.",1,1
Lead me to the art room.,1,0
What time does lunch start?,0,0
Do you know any riddles?,0,0
Can you spin around and guide me to the principal's office?,1,1
Interesting!,0,0
Please help me find the library.,1,0
Take me to the nurse's office.,1,0
How does a neural network learn?,0,0
Walk with me to the main office.,1,0
Lead me to the nearest bathroom.,1,0
Please navigate to the music room.,1,0
I would like a tour to the reception area.,1,0
How do I get to the theater?,1,0
"Where is the restroom? Also, could you do a little celebration?",1,1
Your next action is to lower your arm.,0,1
My favorite subject is math.,0,0
Can we head over to room 101?,1,0
Please raise your right arm; I also need directions to the restroom.,1,1
I am trying to reach the stairs.,1,0
I want you to point forward.,0,1
Could you repeat your explanation?,0,0
A nod can mean yes.,0,0
What is overfitting?,0,0
"Before showing me the computer lab, point to your right.",1,1
Could you explain the idea of waving?,0,0
"Hey Belt, look down.",0,1
Would you blink your lights before escorting me to room 102?,1,1
Show me how you take one step backward.,0,1
I have a presentation tomorrow.,0,0
Could you show me where the auditorium is?,1,0
"Can we head to the nearest bathroom? On the way, spin around.",1,1
Go ahead and look down.,0,1
Take me to the main office.,1,0
Please bring me to the parking lot and turn in a circle when we get there.,1,1
