text,label
Good morning robot! how is your day going?,1
Hey but first wave at me?,0
How does a robot know when to navigate through a hallway?,1
Can you explain PCA?,1
Who usually works in room 202?,1
Hi robot please follow me?,0
Hello! Now turn right?,0
What should I know about photosynthesis?,1
That's interesting and then follow me?,0
Okay cool and then guide me to the library?,0
Hi there buddy! are you ready to chat?,1
What should I know about an API?,1
hi do you like robots,1
How are you doing?,1
Thanks for answering my question but first follow me?,0
Thanks for answering my question — now move backward?,0
Hello buddy! are you ready to chat?,1
What should I know about artificial intelligence?,1
Do you know much about space?,1
Hey Belt and then take me to room 202?,0
I think robots are cool,1
You're pretty funny,1
This is fun! Now stop moving?,0
Yo buddy! what are you thinking about?,1
Hi robot! you seem cool,1
yo do you like music,1
I think you're smart,1
Sorry to interrupt. Please follow me?,0
I like talking to you; could you raise your left arm?,0
Is the auditorium open?,1
Where is room 103?,1
Yo there! I hope you're doing well,1
Good morning. Please wave at me?,0
Can you take me to the conference room?,0
Hello but first raise your left arm?,0
Sorry to interrupt! Now wait here?,0
Good evening there! what should we talk about?,1
hello what are you thinking about,1
Good morning Belt! how is your day going?,1
Sorry to interrupt — now go to the front desk?,0
Sorry to interrupt. Please wait here?,0
Please raise your left arm,0
Hi there robot! are you ready to chat?,1
Let's talk about school,1
I appreciate it,1
Hey Belt; could you turn left?,0
Can you tell me where the conference room is?,1
Sorry to interrupt — now show me the way to the main office?,0
yo do you like coding,1
Okay cool and then take me to room 202?,0
Do you know where the west entrance is?,1
whats new,1
What happens in room 102?,1
Hey friend! what are you thinking about?,1
What should I know about a graph in computer science?,1
I like talking to you can you lead me to the cafeteria?,0
Hi robot; could you walk with me to the auditorium?,0
Before we keep chatting please face the door?,0
Howdy buddy! are you ready to chat?,1
Is the robotics lab open?,1
Nice to meet you; could you face the door?,0
Hey friend! you seem cool,1
Can you explain a graph in computer science?,1
I like talking to you! Now lead me to the cafeteria?,0
What's up?; could you turn right?,0
Go ahead and walk beside me,0
Is the main office open?,1
Do you like weekends?,1
You seem pretty interesting,1
Thanks for answering my question! Now turn left?,0
What's up? — now take me to room 202?,0
This conversation is fun,1
What do you think about coding?,1
This is fun can you raise your left arm?,0
yo do you like games,1
Hey and then wave at me?,0
Give me a simple explanation of a molecule,1
What is the Pythagorean theorem?,1
Nice to meet you and then lead me to the cafeteria?,0
hi how was your day,1
Woah you're cool — now spin around?,0
do you have a favorite color,1
What should I know about a Python dictionary?,1
That's interesting! Now wave at me?,0
Good morning buddy! I hope you're doing well,1
You're really helpful but first lead me to the cafeteria?,0
What is your opinion on space?,1
hi do you like music,1
Sorry to interrupt; could you lead me to the cafeteria?,0
Give me a simple explanation of gradient descent,1
Hey Belt! I hope you're doing well,1
Wow that was awesome but first turn right?,0
Give me a simple explanation of supply and demand,1
This is fun but first turn right?,0
This is fun — now raise your right arm?,0
Hi there Belt! what's up?,1
I think you're kind,1
Woah you're cool. Please take me to room 101?,0
What does it mean to bow?,1
Howdy there! what are you thinking about?,1
Yo friend! what are you thinking about?,1
Talking to you is creative,1
Now move slowly,0
What's up? please face the door?,0
Hey Belt but first move backward?,0
Howdy buddy! how is your day going?,1
Good morning Belt! I hope you're doing well,1
Okay cool! Now turn right?,0
Before we keep chatting can you turn left?,0
Hey and then go to the front desk?,0
move backward,0
Good evening friend! I hope you're doing well,1
What should I know about an atom?,1
Hello robot! I hope you're doing well,1
This is fun — now show me the way to the main office?,0
Thanks for answering my question but first take me to room 202?,0
Hi buddy! how are you?,1
Hi robot but first follow me?,0
Good morning! Now turn left?,0
Do you like music?,1
Good afternoon there! what are you thinking about?,1
Can you explain the solar system?,1
I have a quick favor. Please move forward?,0
What happens in room 202?,1
Hey Belt! Now lead me to the cafeteria?,0
howdy how are you doing,1
I like talking to you but first walk with me to the auditorium?,0
What is an atom?,1
Could you tell me about inflation?,1
Could you tell me about photosynthesis?,1
What should I know about a GPU?,1
Before we keep chatting please wave at me?,0
Can you explain how robots spin around?,1
Can you explain an eigenvector?,1
What floor is the restroom on?,1
Hey robot! I hope you're doing well,1
Wow that was awesome; could you guide me to the library?,0
What does it mean to spin around?,1
How does a robot know when to spin around?,1
How does probability work?,1
Good morning and then raise your left arm?,0
Hello; could you go to the front desk?,0
Before we keep chatting. Please turn left?,0
Help me get to the robotics lab,0
Yo robot! what's up?,1
Talking to you is kind,1
This is fun but first wave at me?,0
Hey. Please wait here?,0
sup do you like robots,1
Wow that was awesome. Please take me to room 202?,0
Hi can you lead me to the cafeteria?,0
Yo robot! it's nice to meet you,1
Sorry to interrupt — now take me to room 202?,0
Help me get to the restroom,0
Woah you're cool — now bring me to the gym?,0
What's up?. Please show me the way to the main office?,0
Do you like basketball?,1
That's interesting. Please follow me?,0
yo how was your day,1
Can you explain a function?,1
What is a database?,1
How does gravity work?,1
Is the restroom open?,1
How are you?; could you take me to room 101?,0
I have a quick favor and then stop moving?,0
Can you explain that?,1
Good evening robot! are you ready to chat?,1
Thanks for answering my question please go to the front desk?,0
What is your opinion on animals?,1
Greetings buddy! what should we talk about?,1
Hey and then raise your right arm?,0
What should I know about the water cycle?,1
I like talking to you and then raise your left arm?,0
That's interesting — now spin around?,0
Let's talk about math,1
yo what are you thinking about,1
Give me a simple explanation of classification,1
Escort me to room 201,0
That's interesting — now go to the front desk?,0
Woah you're cool; could you show me the way to the main office?,0
What happens in the science lab?,1
How does GPS work?,1
What's up? — now bring me to the gym?,0
Let's go to the nurse's office,0
Hey Belt; could you raise your right arm?,0
You're really helpful. Please move forward?,0
Which planet is the largest?,1
I like talking to you — now follow me?,0
Thanks for answering my question and then move backward?,0
I think you're interesting,1
Greetings buddy! do you like talking to people?,1
Wow that was awesome but first show me the way to the main office?,0
That's interesting; could you move backward?,0
Please lead me to the front desk,0
Wow that was awesome — now go to the front desk?,0
Let's go to room 101,0
Hey buddy! do you like talking to people?,1
Can you back up?,0
Where is the west entrance?,1
Do you know where the robotics lab is?,1
You're really helpful. Please bring me to the gym?,0
Walk with me to the west entrance,0
This is fun! Now turn right?,0
hey do you like music,1
Good evening robot! I hope you're doing well,1
Thanks for answering my question but first take me to room 101?,0
Hey Belt! Now face the door?,0
Yo Belt! are you ready to chat?,1
Hi please face the door?,0
What should I know about RAM?,1
I like talking to you please wait here?,0
Can you tell me where the library is?,1
Hi there,1
What is a server?,1
Hey please go to the front desk?,0
Woah you're cool can you wave at me?,0
How does an atom work?,1
What do you think about school?,1
Wow that was awesome but first move backward?,0
How does a robot know when to raise an arm?,1
Good morning please wave at me?,0
hi how are you,1
Okay cool — now take me to room 202?,0
What do you think about science?,1
Good morning! Now guide me to the library?,0
Good morning friend! I hope you're doing well,1
This is fun can you wait here?,0
You're really helpful! Now raise your left arm?,0
Yo Belt! do you like talking to people?,1
Hey; could you move backward?,0
Nice to meet you but first stop moving?,0
Can you explain a GPU?,1
Hey but first follow me?,0
Let's go to the parking lot,0
How does a robot know when to follow a person?,1
good evening,1
Hi robot can you move backward?,0
Good morning — now wave at me?,0
Before we keep chatting please walk with me to the auditorium?,0
What is your opinion on math?,1
Could you tell me about gravity?,1
Hey! Now wave at me?,0
thanks a lot,1
Good morning Belt! you seem cool,1
Show me the way to the stairs,0
Wow you're really kind,1
Hi please turn left?,0
hello do you like music,1
Good morning please bring me to the gym?,0
sup how was your day,1
Hey! Now lead me to the cafeteria?,0
Could you move forward?,0
hiya hows your day,1
how was your day,1
What is a black hole?,1
This is fun! Now spin around?,0
Do you know where the auditorium is?,1
Do you like coding?,1
Please stop moving,0
You're really helpful please move forward?,0
Yo friend! do you like talking to people?,1
I have a quick favor please take me to room 202?,0
hello how was your day,1
Hey. Please guide me to the library?,0
Good morning! Now move forward?,0
Nice to meet you. Please move backward?,0
Howdy friend! what should we talk about?,1
Woah you're cool; could you move forward?,0
what are you doing,1
Wow that was awesome and then guide me to the library?,0
Sorry to interrupt! Now go to the front desk?,0
Can you tell me where the gym is?,1
im feeling happy,1
Show me the way to the elevator,0
Hey Belt — now take me to room 101?,0
Thanks for answering my question! Now take me to room 101?,0
Do you know much about school?,1
What happens in room 101?,1
Nice to meet you but first follow me?,0
Good morning buddy! are you ready to chat?,1
Wow that was awesome; could you walk with me to the auditorium?,0
hiya what are you thinking about,1
Good evening there! do you like talking to people?,1
Can you describe room 202?,1
That was helpful,1
What is gradient descent?,1
Hello there! what are you thinking about?,1
What should I know about a database?,1
Talking to you is cool,1
Do you like food?,1
What's interesting about food?,1
Wow that was awesome can you show me the way to the main office?,0
Hey Belt can you show me the way to the main office?,0
That was creative,1
Give me a simple explanation of k-means clustering,1
Good morning buddy! what are you thinking about?,1
Talking to you is impressive,1
Good evening buddy! how are you?,1
Next take a bow,0
I'm having a good day,1
Can you describe the front desk?,1
You're really helpful can you stop moving?,0
Hi! Now move forward?,0
Do you like history?,1
Help me get to the gym,0
no way thats cool,1
What's interesting about technology?,1
You seem pretty awesome,1
are you always this cool,1
Howdy friend! do you like talking to people?,1
Do you like books?,1
Welcome back,1
How does the Roman Empire work?,1
Give me a simple explanation of cross-validation,1
Good afternoon,1
Okay cool can you raise your right arm?,0
What do you think about summer?,1
Nice to meet you — now take me to room 101?,0
That's interesting. Please walk with me to the auditorium?,0
Greetings Belt! how is your day going?,1
Let's go to the restroom,0
Hello friend! what's up?,1
Hi can you follow me?,0
This is fun; could you move backward?,0
What's up? but first bring me to the gym?,0
Sorry to interrupt; could you stop moving?,0
Could you take me to the parking lot?,0
yo hows your day,1
Honestly you're cool,1
Howdy there! it's nice to meet you,1
Give me a simple explanation of a confusion matrix,1
Can we talk about the weather?,1
Can you explain how robots follow a person?,1
What should I know about a Python list?,1
hello do you like chatting,1
Sorry to interrupt — now wait here?,0
What's up?! Now move forward?,0
What's up?; could you lead me to the cafeteria?,0
Bring me to the west entrance,0
Greetings robot! you seem cool,1
I like talking to you can you walk with me to the auditorium?,0
Can you describe the west entrance?,1
How does cross-validation work?,1
Escort me to the library,0
How are you? and then follow me?,0
Next point to the left,0
I have a quick favor but first guide me to the library?,0
Good evening friend! you seem cool,1
Next move closer,0
I think you're cool,1
Hello please move backward?,0
How does a support vector machine work?,1
Good morning; could you raise your right arm?,0
Wow that was awesome; could you turn left?,0
This is fun — now turn left?,0
Could you tell me about computer vision?,1
Hi there robot! do you like talking to people?,1
Guide me to the stairs,0
What should I know about natural language processing?,1
Could you look up?,0
Can you slow down?,0
Nice to meet you please move forward?,0
Hello buddy! how are you?,1
Hi robot please spin around?,0
Why would a robot stop moving?,1
Hello can you raise your left arm?,0
Good morning friend! how is your day going?,1
Please circle around me,0
Now go around the chair,0
Talking to you is chill,1
Hello and then move backward?,0
Hi robot but first move backward?,0
Hi friend! what should we talk about?,1
Can you show me the way to the nurse's office?,0
Is it difficult for a robot to move forward?,1
You're really helpful but first move forward?,0
How does a robot know when to turn left?,1
This is fun; could you follow me?,0
Nice to meet you; could you wave at me?,0
I like talking to you but first raise your right arm?,0
Wow that was awesome and then wait here?,0
Hi there buddy! what's up?,1
Nice to meet you and then stop moving?,0
Yo friend! how are you?,1
You're awesome,1
Hi there robot! how are you?,1
hiya whats new,1
Give me a simple explanation of the Pythagorean theorem,1
Hi. Please wait here?,0
Wow you're really funny,1
sup what are you thinking about,1
How are you? — now wave at me?,0
Lead me to the cafeteria,0
Why would a robot turn right?,1
What happens in the conference room?,1
Do you know much about the weather?,1
What is dynamic programming?,1
Sorry to interrupt — now move backward?,0
Next move to the center of the room,0
This is fun can you guide me to the library?,0
I think you're impressive,1
How are you? but first show me the way to the main office?,0
Hi there robot! you seem cool,1
You're really helpful please move backward?,0
That's interesting and then stop moving?,0
Hi Belt! what are you thinking about?,1
yo do you like chatting,1
Nice to meet you; could you follow me?,0
That's interesting; could you wave at me?,0
Hi there! how are you?,1
Could you tell me about binary search?,1
That's interesting. Please wave at me?,0
Before we keep chatting — now guide me to the library?,0
Okay cool please move forward?,0
Okay cool and then bring me to the gym?,0
Could you raise your right arm?,0
Who usually works in the main office?,1
Good evening there! it's nice to meet you,1
How many planets are in the solar system?,1
Okay cool. Please show me the way to the main office?,0
Can we talk about artificial intelligence?,1
Go to room 202,0
Excuse me,1
Hello. Please move backward?,0
Woah you're cool. Please raise your right arm?,0
Where is the nurse's office?,1
Who usually works in room 102?,1
Please tilt your head left,0
Hey Belt — now bring me to the gym?,0
How does a robot know when to nod?,1
Good morning; could you face the door?,0
Howdy buddy! what should we talk about?,1
What is your favorite sport?,1
How does a robot know when to point at something?,1
yo are you having fun,1
What is your purpose?,1
Sorry to interrupt. Please move backward?,0
What is the tallest mountain?,1
Hello friend! you seem cool,1
Hey please guide me to the library?,0
Can you describe the restroom?,1
hi hows your day,1
Honestly you're smart,1
That's interesting — now take me to room 202?,0
Hey! Now raise your right arm?,0
Could you stand still?,0
Nice to meet you! Now face the door?,0
How are you? but first bring me to the gym?,0
what should we talk about,1
You're really helpful and then walk with me to the auditorium?,0
howdy do you like music,1
That's interesting and then move backward?,0
want to talk,1
Good evening buddy! how is your day going?,1
move forward then turn right,0
thats funny,1
Hi there friend! it's nice to meet you,1
Can you explain how robots move backward?,1
Who usually works in the parking lot?,1
Wow you're really friendly,1
Wow that was awesome but first raise your left arm?,0
Good morning buddy! what's up?,1
That's interesting. Please guide me to the library?,0
Can you describe room 201?,1
Let's talk about soccer,1
What should I know about inflation?,1
today was weird,1
Hey! Now take me to room 202?,0
Greetings friend! you seem cool,1
What should I know about an operating system?,1
Good evening there! I hope you're doing well,1
howdy do you like coding,1
Good morning friend! do you like talking to people?,1
Lead me to the parking lot,0
Please lead me to the gym and then turn toward me,0
Thanks for answering my question can you bring me to the gym?,0
Good morning — now stop moving?,0
Hello Belt! it's nice to meet you,1
Please take me to room 201,0
Is the cafeteria open?,1
What do you think about movies?,1
Can you explain a CPU?,1
Sorry to interrupt and then follow me?,0
Good night,1
What happens in room 201?,1
see you later,1
This is fun! Now wait here?,0
I like talking to you — now wait here?,0
What do you think about the weather?,1
Hi friend! what are you thinking about?,1
Okay cool — now bring me to the gym?,0
Okay cool and then raise your right arm?,0
Wow that was awesome — now lead me to the cafeteria?,0
Thanks for answering my question please walk with me to the auditorium?,0
Yo there! you seem cool,1
This is fun and then wave at me?,0
Woah you're cool — now walk with me to the auditorium?,0
Nice to meet you! Now turn left?,0
Hello can you take me to room 101?,0
Good morning there! are you ready to chat?,1
I like talking to you can you guide me to the library?,0
Who usually works in the conference room?,1
I like talking to you and then raise your right arm?,0
Hi friend! how is your day going?,1
I have a quick favor! Now raise your right arm?,0
How does a robot know when to wave?,1
What's up? can you wait here?,0
Good morning! Now lead me to the cafeteria?,0
I think you're awesome,1
Hey. Please turn right?,0
Before we keep chatting. Please turn right?,0
What floor is the counseling office on?,1
Hello buddy! I hope you're doing well,1
I think you're chill,1
hi what are you thinking about,1
youre really awesome,1
Could you tell me about gradient descent?,1
Hello please turn left?,0
Give me a simple explanation of gravity,1
You seem pretty funny,1
Hi! Now raise your left arm?,0
That's interesting can you move backward?,0
Hi robot. Please lead me to the cafeteria?,0
Okay cool — now turn right?,0
How are you? can you follow me?,0
Bring me to room 201,0
What is your opinion on technology?,1
You're really helpful please take me to room 202?,0
I have a quick favor can you raise your right arm?,0
What can you do?,1
Hi there there! are you ready to chat?,1
Before we keep chatting and then raise your left arm?,0
Hey please take me to room 202?,0
I like talking to you. Please take me to room 202?,0
Could you tell me about machine learning?,1
Can you explain DNA?,1
Hi there! you seem cool,1
Nice to meet you! Now lead me to the cafeteria?,0
How does the Renaissance work?,1
Good morning; could you turn right?,0
Do you know where the cafeteria is?,1
really,1
I like that,1
This is fun. Please wave at me?,0
Give me a simple explanation of a function,1
Before we keep chatting. Please show me the way to the main office?,0
Greetings friend! what are you thinking about?,1
This is fun can you take me to room 202?,0
What's up? but first wait here?,0
Hi there buddy! how are you?,1
Woah you're interesting,1
Howdy friend! I hope you're doing well,1
What should I know about k-nearest neighbors?,1
Wow that was awesome — now move backward?,0
What happens in the west entrance?,1
Hello there,1
Could you tell me about cloud computing?,1
Hey and then guide me to the library?,0
Yo there! how are you?,1
pretty cool,1
Can you explain Wi-Fi?,1
Can you explain the Renaissance?,1
Woah you're impressive,1
I have a quick favor can you bring me to the gym?,0
Hi Belt! how is your day going?,1
Nice to meet you; could you turn left?,0
Before we keep chatting; could you walk with me to the auditorium?,0
Talking to you is amazing,1
Hi; could you turn left?,0
What does democracy mean?,1
Hello there! what's up?,1
Before we keep chatting. Please face the door?,0
Hey Belt please turn right?,0
Nice to meet you and then follow me?,0
Woah you're kind,1
Good morning but first walk with me to the auditorium?,0
Greetings Belt! it's nice to meet you,1
Can you explain an atom?,1
This is fun! Now walk with me to the auditorium?,0
Howdy friend! are you ready to chat?,1
woah youre cool,1
Can you tell me where room 202 is?,1
Hi! Now raise your right arm?,0
Hey Belt! it's nice to meet you,1
youre funny,1
thats wild,1
Nice to meet you; could you lead me to the cafeteria?,0
How are you? and then raise your right arm?,0
I have a quick favor please spin around?,0
Give me a simple explanation of reinforcement learning,1
Before we keep chatting and then move backward?,0
Sorry,1
Howdy buddy! I hope you're doing well,1
You're really helpful. Please spin around?,0
Good afternoon robot! how are you?,1
Good morning Belt! what should we talk about?,1
what are you thinking about,1
Can you explain probability?,1
Good afternoon there! you seem cool,1
What is your opinion on summer?,1
take one step backward,0
Woah you're cool. Please spin around?,0
How does a robot know when to bow?,1
Talking to you is thoughtful,1
What is artificial intelligence?,1
Give me a simple explanation of DNA,1
raise your right arm then wave,0
Hey there,1
Before we keep chatting but first stop moving?,0
Can you lower your arms?,0
How does an operating system work?,1
Hey can you take me to room 202?,0
Go to the cafeteria,0
How are you?,1
Hey! Now turn left?,0
I like talking to you — now move forward?,0
You're really helpful; could you spin around?,0
Good morning. Please follow me?,0
Good evening friend! how is your day going?,1
Can you explain an algorithm?,1
Hello but first turn left?,0
Wow that was awesome and then walk with me to the auditorium?,0
how have you been,1
Sorry to interrupt! Now wave at me?,0
Honestly you're awesome,1
Okay cool can you take me to room 202?,0
Do you know how to describe the motion 'spin around'?,1
Thanks for answering my question; could you take me to room 101?,0
Okay cool and then move backward?,0
Howdy there! are you ready to chat?,1
Hi please raise your right arm?,0
Hello there! are you ready to chat?,1
Good evening robot! what should we talk about?,1
Honestly you're thoughtful,1
Woah you're cool please show me the way to the main office?,0
Okay cool but first go to the front desk?,0
You're really helpful can you walk with me to the auditorium?,0
Today has been strange,1
I like robots,1
Greetings there! what's up?,1
Good evening Belt! you seem cool,1
Can we talk about math?,1
Hey can you turn left?,0
Hey but first wait here?,0
Could you take me to the auditorium?,0
Hi Belt! you seem cool,1
Yo Belt! how is your day going?,1
Do you like movies?,1
Good morning but first wave at me?,0
Hi but first guide me to the library?,0
Is room 201 open?,1
Can you explain a server?,1
Yo friend! it's nice to meet you,1
Next raise your left arm,0
I have a quick favor can you take me to room 202?,0
Give me a simple explanation of an operating system,1
Woah you're cool but first face the door?,0
can we chat,1
What is your opinion on coding?,1
What do you think about soccer?,1
Nice to meet you. Please take me to room 202?,0
Greetings friend! how are you?,1
Sorry to interrupt can you take me to room 202?,0
I have a quick favor — now wait here?,0
Yo robot! how are you?,1
back up,0
Hello. Please stop moving?,0
That's interesting please guide me to the library?,0
Let's go to the stairs,0
Let's go to room 202,0
Woah you're cool but first take me to room 202?,0
What floor is the elevator on?,1
hello are you doing okay,1
Do you know much about science?,1
Can you hear me?,1
What does it mean to stop moving?,1
Could you tell me about overfitting?,1
Hi buddy! do you like talking to people?,1
Let's go to room 201,0
Sorry to interrupt please take me to room 202?,0
hey are you doing okay,1
Nice to meet you and then turn right?,0
